Mission Name,Spacewalkers,Year,Start Time,End Time,Duration,EVA Reason
STS-88 EVA 1,Jerry L. Ross  James H. Newman,1998,12/7/1998 22:10,12/8/1998 5:31,"7 hours, 21 minutes","Connected computer and electrical cables between the Unity node, the two mating adapters attached to either end of Unity, and the Zarya Functional Cargo Block (FGB). "
STS-88 EVA 2,Jerry L. Ross  James H. Newman,1998,12/9/1998 20:33,12/10/1998 3:35,"7 hours, 02 minutes",Installed two box-like antennas on the outside of the Unity module that are part of the S-band early communications system. Installed two box-like antennas on the outside of the Unity module that are part of the S-band early communications system. 
STS-88 EVA 3,Jerry L. Ross  James H. Newman,1998,12/12/1998 20:33,12/13/1998 3:32,"6 hours, 59 minutes","Checked on an insulation cover on a cable connection on the lower Pressurized Mating Adapter (PMA 2) to make sure it is fully installed, attached EVA tools on the side of Unity's upper mating adapter (PMA 1) in preparation for future EVAs, and inspected Orbiter Space Vision System targets on Unity. Checked on an insulation cover on a cable connection on the lower Pressurized Mating Adapter (PMA 2) to make sure it is fully installed, attached EVA tools on the side of Unity's upper mating adapter (PMA 1) in preparation for future EVAs, and inspected Orbiter Space Vision System targets on Unity. "
STS-96,Tamara E. Jernigan  Daniel T. Barry,1999,5/30/1999 2:56,5/30/1999 10:51,"7 hours, 55 minutes","Transferred and installed two cranes from the shuttle's payload bay to locations on the outside of the station. Installed two new portable foot restraints that will fit both American and Russian space boots, and attached three bags filled with tools and handrails that will be used during future assembly operations. Transferred and installed two cranes from the shuttle's payload bay to locations on the outside of the station. Installed two new portable foot restraints that will fit both American and Russian space boots, and attached three bags filled with tools and handrails that will be used during future assembly operations. "
STS-101,James S. Voss  Jeffrey N. Williams,2000,5/22/2000 1:48,5/22/2000 8:32,"6 hours, 44 minutes","Inspected and secured U.S.-built cargo crane known as the Orbital Replacement Unit Transfer Device, completed assembly of a Russian cargo crane called Strela, and replaced one of Unity's two early communication antennas."
STS-106,Edward T. Lu  Yuri Ivanovich Malenchenko,2000,9/11/2000 4:47,9/11/2000 11:01,"6 hours, 14 minutes","Attached cabling that integrated the Zvezda module fully to the rest of the ISS, and constructed and attached a magnetometer that serves as a backup navigation system for the station. Attached cabling that integrated the Zvezda module fully to the rest of the ISS, and constructed and attached a magnetometer that serves as a backup navigation system for the station. "
STS-92 EVA 1,Leroy Chiao  William S. McArthur,2000,10/15/2000 14:27,10/15/2000 20:55,"6 hours, 28 minutes","Connected two sets of cables to provide power to heaters and conduits located on the Z1 truss, relocated two communication antenna assemblies, and installed a toolbox for use during future on-orbit construction. Connected two sets of cables to provide power to heaters and conduits located on the Z1 truss, relocated two communication antenna assemblies, and installed a toolbox for use during future on-orbit construction. "
STS-92 EVA 2,Michael E. Lopez-Alegria  Peter J.K. Wisoff,2000,10/16/2000 14:15,10/16/2000 21:22,"7 hours, 07 minutes","Installed the Pressurized Mating Adapter (PMA)-3 docking port, and prepared the Z1 truss for the installation of the solar arrays. Installed the Pressurized Mating Adapter (PMA)-3 docking port, and prepared the Z1 truss for the installation of the solar arrays."
STS-92 EVA 3,Leroy Chiao  William S. McArthur,2000,10/17/2000 14:30,10/17/2000 21:18,"6 hours, 48 minutes",Installed two DC-to-DC converter units atop the station's Z1 Truss. Installed two DC-to-DC converter units atop the station's Z1 Truss. Installed two DC-to-DC converter units atop the station's Z1 Truss. Installed two DC-to-DC converter units atop the station's Z1 Truss.  
STS-92 EVA 4,Michael E. Lopez-Alegria  Peter J.K. Wisoff,2000,10/18/2000 15:00,10/18/2000 21:56,"6 hours, 56 minutes","Removed a grapple fixture on the Z1 truss, deployed a Z1 utility tray, Manual Berthing Mechanism latches for Z1 were cycled and opened, and demonstrated the Simplified Aid For EVA Rescue (SAFER) pack's abilities. "
