Country,Name,# walks,Year,Year Adj,Mission
USA,Clayton Anderson,6,2007,2007,Expedition 15 EVA 3
USA,Reid Wiseman,2,2014,2014,Expedition 41 EVA 1
USA,Reid Wiseman,2,2014,2014,Expedition 41 EVA 2
USA,Kjell Lindgren,2,2015,2015,Expedition 45 EVA 1
USA,Scott Kelly,3,2015,2015,Expedition 45 EVA 1
USA,Kjell Lindgren,2,2015,2015,Expedition 45 EVA 2
USA,Scott Kelly,3,2015,2015,Expedition 45 EVA 2
USA,Scott Kelly,3,2015,2015,Expedition 46 EVA 1
USA,Kathleen Rubins,2,2016,2016,Expedition 48 EVA 1
USA,Kathleen Rubins,2,2016,2016,Expedition 48 EVA 2
USA,Peggy Whitson,10,2002,2002,Expedition 5 EVA 1
USA,Donald Pettit,2,2003,2003,Expedition 6 EVA 1
USA,Donald Pettit,2,2003,2003,Expedition 6 EVA 2
USA,Michael Fincke,9,2004,2004,Expedition 9 EVA 1
USA,Michael Fincke,9,2004,2004,Expedition 9 EVA 2
USA,Michael Fincke,9,2004,2004,Expedition 9 EVA 3
USA,Michael Fincke,9,2004,2004,Expedition 9 EVA 4
USA,Susan Helms,1,2001,2001,STS-102 EVA 1
USA,Lee Morin,2,2002,2002,STS-110 EVA 2
USA,Lee Morin,2,2002,2002,STS-110 EVA 4
USA,Franklin Chang-Diaz,3,2002,2002,STS-111 EVA 1
USA,Franklin Chang-Diaz,3,2002,2002,STS-111 EVA 2
USA,Franklin Chang-Diaz,3,2002,2002,STS-111 EVA 3
USA,Piers Sellers,6,2002,2002,STS-112 EVA 1
USA,Piers Sellers,6,2002,2002,STS-112 EVA 2
USA,Piers Sellers,6,2002,2002,STS-112 EVA 3
USA,John Herrington,3,2002,2002,STS-113 EVA 1
USA,John Herrington,3,2002,2002,STS-113 EVA 2
USA,John Herrington,3,2002,2002,STS-113 EVA 3
USA,Stephen Robinson,3,2005,2005,STS-114 EVA 1
USA,Stephen Robinson,3,2005,2005,STS-114 EVA 2
USA,Stephen Robinson,3,2005,2005,STS-114 EVA 3
USA,Heidemarie Stefanyshyn-Piper,5,2006,2006,STS-115 EVA 1
USA,Heidemarie Stefanyshyn-Piper,5,2006,2006,STS-115 EVA 3
USA,Sunita Williams,7,2006,2006,STS-116 EVA 3
USA,Steven Swanson,5,2007,2007,STS-117 EVA 2
USA,Steven Swanson,5,2007,2007,STS-117 EVA 4
USA,Richard Mastracchio,9,2007,2007,STS-118 EVA 1
USA,Richard Mastracchio,9,2007,2007,STS-118 EVA 2
USA,Richard Mastracchio,9,2007,2007,STS-118 EVA 3
USA,Garrett Reisman,3,2008,2008,STS-123 EVA 1
USA,Michael Foreman,5,2008,2008,STS-123 EVA 2
USA,Michael Foreman,5,2008,2008,STS-123 EVA 4
USA,Michael Foreman,5,2008,2008,STS-123 EVA 5
USA,Thomas Marshburn,4,2009,2009,STS-127 EVA 2
USA,Thomas Marshburn,4,2009,2009,STS-127 EVA 4
USA,Thomas Marshburn,4,2009,2009,STS-127 EVA 5
USA,Randolph Bresnik,5,2009,2009,STS-129 EVA 2
USA,Randolph Bresnik,5,2009,2009,STS-129 EVA 3
USA,Gregory Chamitoff,2,2011,2011,STS-134 EVA 1
USA,Gregory Chamitoff,2,2011,2011,STS-134 EVA 4
USA,Michael Lopez-Alegria,10,2000,2000,STS-92 EVA 2
USA,Michael Lopez-Alegria,10,2000,2000,STS-92 EVA 4
