Mission Title,Space Walker One,Space Walker Two
Expedition 63,Bob Behnken,Chris Cassidy
Expedition 63,Bob Behnken,Chris Cassidy
Expedition 63,Chris Cassidy,Bob Behnken
Expedition 63,Chris Cassidy,Bob Behnken
Expedition 61,Luca Parmitano,Andrew Morgan
Expedition 61,Jessica Meir,Christina Koch
Expedition 61,Jessica Meir,Christina Koch
Expedition 61,Luca Parmitano,Andrew Morgan
Expedition 61,Luca Parmitano,Andrew Morgan
Expedition 61,Luca Parmitano,Andrew Morgan
Expedition 61,Christina Koch,Jessica Meir
Expedition 61,Andrew Morgan,Christina Koch
Expedition 61,Christina Koch,Andrew Morgan
Expedition 60,Nick Hague,Andrew Morgan
Expedition 59,Oleg Kononenko,Alexey Ovchinin
Expedition 59,Anne McClain,David Saint-Jacques
Expedition 59,Nick Hague,Christina Koch
Expedition 59,Anne McClain,Nick Hague
Expedition 57,Oleg Kononenko,Sergey Prokopyev
Expedition 56,Oleg Artemyev,Sergey Prokopyev
Expedition 56,Drew Feustel,Ricky Arnold
Expedition 55,Drew Feustel,Ricky Arnold
Expedition 55,Drew Feustel,Ricky Arnold
Expedition 54,Mark Vande Hei,Norishige Kanai
Expedition 54,Alexander Misurkin,Anton Shkaplerov
Expedition 54,Mark Vande Hei,Scott Tingle
Expedition 53,Randy Bresnik,Joe Acaba
Expedition 53,Randy Bresnik,Mark Vande Hei
Expedition 53,Randy Bresnik,Mark Vande Hei
Expedition 52,Fyodor Yurchikhin,Sergey Ryazanskiy
Expedition 51,Peggy Whitson,Jack Fischer
Expedition 51,Peggy Whitson,Jack Fischer
Expedition 50,Shane Kimbrough,Peggy Whitson
Expedition 50,Shane Kimbrough,Thomas Pesquet
Expedition 50,Shane Kimbrough,Thomas Pesquet
Expedition 50,Shane Kimbrough,Peggy Whitson
Expedition 48,Jeff Williams,Kate Rubins
Expedition 48,Jeff Williams,Kate Rubins
Expedition 46,Yuri Malenchenko,Sergey Volkov
Expedition 46,Tim Kopra,Tim Peake
Expedition 46,Scott Kelly,Tim Kopra
Expedition 45,Scott Kelly,Kjell Lindgren
Expedition 45,Scott Kelly,Kjell Lindgren
Expedition 44,Gennady Padalka,Mikhail Kornienko
Expedition 42,Barry Wilmore,Terry Virts
Expedition 42,Barry Wilmore,Terry Virts
Expedition 42,Barry Wilmore,Terry Virts
Expedition 41,Max Suraev,Alexander Samokutyaev
Expedition 41,Reid Wiseman,Barry Wilmore
Expedition 41,Reid Wiseman,Alexander Gerst
Expedition 40,Alexander Skvortsov,Oleg Artemyev
Expedition 40,Alexander Skvortsov,Oleg Artemyev
Expedition 39,Richard Mastracchio,Steve Swanson
Expedition 38,Oleg Kotov,Sergei Ryazanskiy
Expedition 38,Oleg Kotov,Sergei Ryazanskiy
Expedition 38,Richard Mastracchio,Mike Hopkins
Expedition 38,Richard Mastracchio,Mike Hopkins
Expedition 37,Oleg Kotov,Sergei Ryazanskiy
Expedition 36,Fyodor Yurchikhin,Alexander Misurkin
Expedition 36,Fyodor Yurchikhin,Alexander Misurkin
Expedition 36,Chris Cassidy,Luca Parmitano
Expedition 36,Chris Cassidy,Luca Parmitano
Expedition 36,Fyodor Yurchikhin,Alexander Misurkin
Expedition 35,Chris Cassidy,Thomas Marshburn
Expedition 35,Pavel Vinogradov,Roman Romanenko
Expedition 33,Sunita Williams,Aki Hoshide
Expedition 32,Sunita Williams,Aki Hoshide
Expedition 32,Sunita Williams,Aki Hoshide
Expedition 32,Gennady Padalka,Yuri Malenchenko
Expedition 30,Oleg Kononenko,Anton Shkaplerov
Expedition 28,Sergei Volkov,Alexander Samokutyaev
Expedition 28,Ron Garan,Mike Fossum
STS-134,Andrew Feustel,Greg Chamitoff
STS-134,Andrew Feustel,Mike Fincke
STS-134,Andrew Feustel,Mike Fincke
STS-134,Andrew Feustel,Greg Chamitoff
STS-133,Stephen Bowen,Alvin Drew
STS-133,Stephen Bowen,Alvin Drew
Expedition 26,Dmitry Kondratyev,Oleg Skripochka
Expedition 26,Dmitry Kondratyev,Oleg Skripochka
Expedition 25,Fyodor Yurchikhin,Oleg Skripochka
Expedition 24,Doug Wheelock,Tracy Caldwell-Dyson
Expedition 24,Doug Wheelock,Tracy Caldwell-Dyson
Expedition 24,Doug Wheelock,Tracy Caldwell-Dyson
STS-132,Michael Good,Stephen Bowen
STS-132,Stephen Bowen,Michael Good
STS-132,Garret Reisman,Stephen Bowen
STS-131,Richard Mastracchio,Clayton Anderson
STS-131,Richard Mastracchio,Clayton Anderson
STS-131,Richard Mastracchio,Clayton Anderson
STS-130,Robert Behnken,Nicholas Patrick
STS-130,Robert Behnken,Nicholas Patrick
STS-130,Robert Behnken,Nicholas Patrick
Expedition 22,Oleg Kotov,Max Suraev
STS-129,Robert Satcher,Randolph Bresnik
STS-129,Michael Foreman,Randolph Bresnik
STS-129,Michael Foreman,Robert Satcher
STS-128,John Olivas,Christer Fuglesang
STS-128,John Olivas,Christer Fuglesang
STS-128,John Olivas,Nicole Stott
STS-127,Chris Cassidy,Thomas Marshburn
STS-127,Chris Cassidy,Thomas Marshburn
STS-127,David Wolf,Chris Cassidy
STS-127,David Wolf,Thomas Marshburn
STS-127,David Wolf,Tim Kopra
Expedition 20,Gennady Padalka,Michael Barratt
Expedition 20,Gennady Padalka,Michael Barratt
STS-119,Joseph Acaba,Richard Arnold
STS-119,Steve Swanson,Joseph Acaba
STS-119,Steve Swanson,Richard Arnold
Expedition 18,Yury Lonchakov,Mike Fincke
Expedition 18,Yury Lonchakov,Mike Fincke
STS-126,Stephen Bowen,Robert Kimbrough
STS-126,Heidemarie Stefanyshyn-Piper,Stephen Bowen
STS-126,Heidemarie Stefanyshyn-Piper,Robert Kimbrough
STS-126,Heidemarie Stefanyshyn-Piper,Stephen Bowen
Expedition 17,Sergei Volkov,Oleg Kononenko
Expedition 17,Sergei Volkov,Oleg Kononenko
STS-124,Mike Fossum,Ron Garan
STS-124,Mike Fossum,Ron Garan
STS-124,Mike Fossum,Ron Garan
STS-123,Michael Foreman,Robert Behnken
STS-123,Michael Foreman,Robert Behnken
STS-123,Richard Linnehan,Robert Behnken
STS-123,Richard Linnehan,Michael Foreman
STS-123,Richard Linnehan,Garret Reisman
STS-122,Rex Walheim,Stanley Love
STS-122,Rex Walheim,Hans Schlegel
STS-122,Rex Walheim,Stanley Love
Expedition 16,Peggy Whitson,Dan Tani
Expedition 16,Peggy Whitson,Dan Tani
Expedition 16,Peggy Whitson,Dan Tani
Expedition 16,Peggy Whitson,Dan Tani
Expedition 16,Peggy Whitson,Yuri Malenchenko
STS-120,Scott Parazynski,Doug Wheelock
STS-120,Scott Parazynski,Dan Tani
STS-120,Scott Parazynski,Salizhan Sharipov
STS-120,Scott Parazynski,Doug Wheelock
STS-118,David Williams,Clayton Anderson
STS-118,Richard Mastracchio,Clayton Anderson
STS-118,Richard Mastracchio,David Williams
STS-118,Richard Mastracchio,David Williams
Expedition 15,Clayton Anderson,Fyodor Yurchikhin
Expedition 15,Fyodor Yurchikhin,Oleg Kotov
Expedition 15,Fyodor Yurchikhin,Oleg Kotov
STS-117,Patrick Forrester,Steve Swanson
STS-117,James Reilly,John Olivas
STS-117,Patrick Forrester,Steve Swanson
STS-117,James Reilly,John Olivas
Expedition 14,Mikhail Tyurin,Michael Lopez-Alegria
Expedition 14,Michael Lopez-Alegria,Sunita Williams
Expedition 14,Michael Lopez-Alegria,Sunita Williams
Expedition 14,Michael Lopez-Alegria,Sunita Williams
Expedition 14,Mikhail Tyurin,Michael Lopez-Alegria
STS-116,Bob Curbeam,Christer Fuglesang
STS-116,Bob Curbeam,Sunita Williams
STS-116,Bob Curbeam,Christer Fuglesang
STS-116,Bob Curbeam,Christer Fuglesang
STS-115,Joe Tanner,Heidemarie Stefanyshyn-Piper
STS-115,Dan Burbank,Steve MacLean
STS-115,Joe Tanner,Heidemarie Stefanyshyn-Piper
Expedition 13,Jeff Williams,Thomas Reiter
Expedition 13,Pavel Vinogradov,Jeff Williams
STS-121,Piers Sellers,Mike Fossum
STS-121,Piers Sellers,Mike Fossum
STS-121,Piers Sellers,Mike Fossum
Expedition 12,Bill McArthur,Valery Tokarev
Expedition 12,Bill McArthur,Valery Tokarev
Expedition 11,Sergei Krikalev,John Phillips
STS-114,Soichi Noguchi,Stephen Robinson
STS-114,Soichi Noguchi,Stephen Robinson
STS-114,Soichi Noguchi,Stephen Robinson
Expedition 10,Leroy Chiao,Salizhan Sharipov
Expedition 10,Leroy Chiao,Salizhan Sharipov
Expedition 9,Gennady Padalka,Mike Fincke
Expedition 9,Gennady Padalka,Mike Fincke
Expedition 9,Gennady Padalka,Mike Fincke
Expedition 9,Gennady Padalka,Mike Fincke
Expedition 8,Michael Foale,Alexander Kaleri
Expedition 6,Ken Bowersox,Don Pettit
Expedition 6,Ken Bowersox,Don Pettit
STS-113,Michael Lopez-Alegria,John Herrington
STS-113,Michael Lopez-Alegria,John Herrington
STS-113,Michael Lopez-Alegria,John Herrington
STS-112,David Wolf,Piers Sellers
STS-112,David Wolf,Piers Sellers
STS-112,David Wolf,Piers Sellers
Expedition 5,Valery Korzun,Sergei Treschev
Expedition 5,Valery Korzun,Peggy Whitson
STS-111,Franklin Chang-Diaz,Philippe Perrin
STS-111,Franklin Chang-Diaz,Philippe Perrin
STS-111,Franklin Chang-Diaz,Philippe Perrin
STS-110,Jerry Ross,Lee Morin
STS-110,Steven Smith,Rex Walheim
STS-110,Jerry Ross,Lee Morin
STS-110,Steven Smith,Rex Walheim
Expedition 4,Carl Walz,Dan Bursch
Expedition 4,Yury Onufrienko,Dan Bursch
Expedition 4,Yury Onufrienko,Carl Walz
STS-108,Linda Godwin,Dan Tani
Expedition 3,Vladimir Dezhurov,Mikhail Tyurin
Expedition 3,Vladimir Dezhurov,Frank Culbertson
Expedition 3,Vladimir Dezhurov,Mikhail Tyurin
Expedition 3,Vladimir Dezhurov,Mikhail Tyurin
STS-105,Daniel Barry,Patrick Forrester
STS-105,Daniel Barry,Patrick Forrester
STS-104,Michael Gernhardt,James Reilly
STS-104,Michael Gernhardt,James Reilly
