Order,Image,Country,Name,Spacewalks,# walks,,
1,,USSR,"Alexei Leonov
1934–2019",1965: Voskhod 2,1,,
2,,U.S.,"Ed White
1930–1967",1965: Gemini 4,1,,
3,,U.S.,"Eugene Cernan
1934–2017",1966: Gemini 9A,1,,
4,,U.S.,Michael Collins,"1966: Gemini 10 EVA 1 (stand-up), 2 (spacewalk)",2,,
5,,U.S.,"Richard F. Gordon, Jr.
1929–2017","1966: Gemini 11 EVA 1 (spacewalk), 2 (stand-up)",2,,
6,,U.S.,Buzz Aldrin,"1966: Gemini 12 EVA 1 (spacewalk), 2, 3 (stand-ups)",3,,
7,null,USSR,"Yevgeny Khrunov
1933–2000",1969: Soyuz 5/4,1,,
8,,USSR,Aleksei Yeliseyev,1969: Soyuz 5/4,1,,
9,,U.S.,David Scott,"1969: Apollo 9 (stand-up)
1971: Apollo 15 EVA 1 (stand-up)",2,,
10,,U.S.,Rusty Schweickart,1969: Apollo 9,1,,
11,,U.S.,"James Irwin
1930–1991",1971: Apollo 15 EVA 2 (stand-up),1,,
12,,U.S.,Alfred Worden,1971: Apollo 15 EVA 2,1,,
13,,U.S.,"Charles Moss Duke, Jr.",1972: Apollo 16 (stand-up),1,,
14,,U.S.,Ken Mattingly,1972: Apollo 16,1,,
15,,U.S.,Harrison Schmitt,1972: Apollo 17 (stand-up),1,,
16,,U.S.,"Ronald Evans
1933–1990",1972: Apollo 17,1,,
17,,U.S.,"Paul J. Weitz
1932–2017","1973: Skylab 2 EVA 1, 3",2,,
18,,U.S.,"Pete Conrad
1930–1999","1973: Skylab 2 EVA 2, 3",2,,
19,,U.S.,Joseph Kerwin,1973: Skylab 2 EVA 2,1,,
20,,U.S.,"Owen K. Garriott
1930–2019","1973: Skylab 3 EVA 1, 2, 3",3,,
21,,U.S.,Jack Lousma,"1973: Skylab 3 EVA 1, 2",2,,
22,,U.S.,"Alan Bean
1932–2018",1973: Skylab 3 EVA 3,1,,
23,,U.S.,Edward Gibson,"1973-4: Skylab 4 EVA 1, 3, 4",3,,
24,,U.S.,"William R. Pogue
1930–2014","1973: Skylab 4 EVA 1, 2",2,,
25,,U.S.,Gerald P. Carr,"1973-4: Skylab 4 EVA 2, 3, 4",3,,
26,,USSR,Yuri Romanenko,"1977: Salyut 6 EO-1 EVA 1
1987: Mir EO-2 EVA 1, 2, 3",4,,
27,,USSR,"Georgi Grechko
1931–2017",1977: Salyut 6 EO-1 EVA 1,1,,
28,,USSR,Vladimir Kovalyonok,1978: Salyut 6 EO-2 EVA 1 (stand-up),1,,
29,,USSR,Aleksandr Ivanchenkov,1978: Salyut 6 EO-2 EVA 1,1,,
30,,USSR,Valery Ryumin,1979: Salyut 6 EO-3 EVA 1,1,,
31,,USSR,"Vladimir Lyakhov
1941–2018","1979: Salyut 6 EO-3 EVA 1
1983: Salyut 7 EO-2 EVA 1, 2",3,,
32,,USSR,"Anatoly Berezovoy
1942–2014",1982: Salyut 7 EO-1 EVA 1 (stand-up),1,,
33,,USSR,Valentin Lebedev,1982: Salyut 7 EO-1 EVA 1,1,,
34,,U.S.,Story Musgrave,"1983: STS-6 EVA 1
1993: STS-61 EVA 1, 3, 5",4,,
35,,U.S.,"Donald H. Peterson
1933–2018",1983: STS-6 EVA 1,1,,
36,,USSR,Aleksandr Pavlovich Aleksandrov,"1983: Salyut 7 EO-2 EVA 1, 2",2,,
37,,U.S.,"Bruce McCandless II
1937–2017","1984: STS-41-B EVA 1, 2",2,,
38,,U.S.,Robert L. Stewart,"1984: STS-41-B EVA 1, 2",2,,
39,,U.S.,George Nelson,"1984: STS-41-C EVA 1, 2",2,,
40,,U.S.,James van Hoften,"1984: STS-41-C EVA 1, 2
1985: STS-51-I EVA 1, 2",4,,
41,,USSR,"Leonid Kizim
1941–2010","1984: Salyut 7 EO-3 EVA 1, 2, 3, 4, 5, 6
1986: Salyut 7 EO-6 EVA 1, 2",8,,
42,,USSR,Vladimir Solovyov,"1984: Salyut 7 EO-3 EVA 1, 2, 3, 4, 5, 6
1986: Salyut 7 EO-6 EVA 1, 2",8,,
43,,USSR,Svetlana Savitskaya,1984: Salyut 7 EP-4 EVA 1,1,,
44,,USSR,Vladimir Dzhanibekov,"1984: Salyut 7 EP-4 EVA 1
1985: Salyut 7 EO-4 EVA 1",2,,
45,,U.S.,David Leestma,1984: STS-41-G EVA 1,1,,
46,,U.S.,Kathryn Dwyer Sullivan,1984: STS-41-G EVA 1,1,,
47,,U.S.,Joseph P. Allen,"1984: STS-51-A EVA 1, 2",2,,
48,,U.S.,"Dale Gardner
1948–2014","1984: STS-51-A EVA 1, 2",2,,
49,,U.S.,Jeffrey A. Hoffman,"1985: STS-51-D EVA 1
1993: STS-61 EVA 1, 3, 5",4,,
50,,U.S.,"S. David Griggs
1939–1989",1985: STS-51-D EVA 1,1,,
51,,USSR,Viktor Savinykh,1985: Salyut 7 EO-4 EVA 1,1,,
52,,U.S.,William Frederick Fisher,"1985: STS-51-I EVA 1, 2",2,,
53,,U.S.,Jerry L. Ross,"1985: STS-61-B EVA 1, 2
1991: STS-37 EVA 1, 2
1998: STS-88 EVA 1, 2, 3
2002: STS-110 EVA 2, 4",9,,
54,,U.S.,Sherwood Spring,"1985: STS-61-B EVA 1, 2",2,,
55,null,USSR,Aleksandr Laveykin,"1987: Mir EO-2 EVA 1, 2, 3",3,,
56,,"USSR 
Russia",Vladimir Titov,"1988: Mir EO-3 EVA 1, 2, 3 
1997: STS-86 EVA 1",4,,
57,,USSR,Musa Manarov,"1988: Mir EO-3 EVA 1, 2, 3
1991: Mir EO-8 EVA 1, 2, 3, 4",7,,
58,,"USSR 
Russia",Aleksandr Volkov,"1988: Mir EO-4 EVA 1
1992: Mir EO-10 EVA 1",2,,
59,,France,Jean-Loup Chrétien,1988: Mir EO-4 EVA 1,1,,
60,null,"USSR 
Russia",Aleksandr Viktorenko,"1990: Mir EO-5 EVA 1, 2, 3, 4, 5
1992: Mir EO-11 EVA 1",6,,
61,,"USSR 
Russia","Aleksandr Serebrov
1944–2013","1990: Mir EO-5 EVA 1, 2, 3, 4, 5
1993: Mir EO-14 EVA 1, 2, 3, 4, 5",10,,
62,,"USSR 
Russia",Anatoly Solovyev,"1990: Mir EO-6 EVA 1, 2
1992: Mir EO-12 EVA 1, 2, 3, 4
1995: Mir EO-19 EVA 1, 2, 3
1997: Mir EO-24 EVA 1, 2, 3, 4, 5, 6, 7",16,,
63,null,USSR,Aleksandr Balandin,"1990: Mir EO-6 EVA 1, 2",2,,
64,null,"USSR 
Russia","Gennadi Manakov
1950–2019","1990: Mir EO-7 EVA 1
1993: Mir EO-13 EVA 1, 2",3,,
65,,"USSR 
Russia","Gennadi Strekalov
1940–2004","1990: Mir EO-7 EVA 1
1995: Mir EO-18 EVA 1, 2, 3, 4, 5",6,,
66,,"USSR 
Russia",Viktor Mikhaylovich Afanasyev,"1991: Mir EO-8 EVA 1, 2, 3, 4
1999: Mir EO-27 EVA 1, 2, 3",7,,
67,,U.S.,Jerome Apt,"1991: STS-37 EVA 1, 2",2,,
68,,USSR,Anatoly Artsebarsky,"1991: Mir EO-9 EVA 1, 2, 3, 4, 5, 6",6,,
69,,"USSR 
Russia",Sergei Krikalev,"1991: Mir EO-9 EVA 1, 2, 3, 4, 5, 6
1992: Mir EO-10 EVA 1
2005: Expedition 11 EVA 1",8,,
70,,U.S.,Pierre Thuot,"1992: STS-49 EVA 1, 2, 3",3,,
71,,U.S.,Richard Hieb,"1992: STS-49 EVA 1, 2, 3",3,,
72,,U.S.,Thomas Akers,"1992: STS-49 EVA 3, 4
1993: STS-61 EVA 2, 4",4,,
73,,U.S.,Kathryn C. Thornton,"1992: STS-49 EVA 4
1993: STS-61 EVA 2, 4",3,,
74,,Russia,Aleksandr Kaleri,"1992: Mir EO-11 EVA 1
1996: Mir EO-22 EVA 1, 2
2000: Mir EO-28 EVA 1
2004: Expedition 8 EVA 1",5,,
75,,Russia,Sergei Avdeyev,"1992: Mir EO-12 EVA 1, 2, 3, 4
1995: Mir EO-20 EVA 1, 2
1998: Mir EO-26 EVA 1, 2
1999: Mir EO-27 EVA 2, 3",10,,
76,,U.S.,Gregory J. Harbaugh,"1993: STS-54 EVA 1
1997: STS-82 EVA 2, 4",3,,
77,,U.S.,Mario Runco,1993: STS-54 EVA 1,1,,
78,null,Russia,Aleksandr Poleshchuk,"1993: Mir EO-13 EVA 1, 2",2,,
79,,U.S.,"G. David Low
1956–2008",1993: STS-57 EVA 1,1,,
80,,U.S.,Peter Wisoff,"1993: STS-57 EVA 1
2000: STS-92 EVA 2, 4",3,,
81,,Russia,Vasili Tsibliyev,"1993: Mir EO-14 EVA 1, 2, 3, 4, 5
1997: Mir EO-23 EVA 1",6,,
82,,U.S.,James H. Newman,"1993: STS-51 EVA 1
1998: STS-88 EVA 1, 2, 3
2002: STS-109 EVA 2, 4",6,,
83,,U.S.,Carl E. Walz,"1993: STS-51 EVA 1
2002: Expedition 4 EVA 1, 3",3,,
84,,Russia,Yuri Malenchenko,"1994: Mir EO-16 EVA 1, 2
2000: STS-106 EVA 1
2007: Expedition 16 EVA 1
2012: Expedition 32 EVA 1 
2016: Expedition 46 EVA 3",6,,
85,,Russia,Talgat Musabayev,"1994: Mir EO-16 EVA 1, 2
1998: Mir EO-25 EVA 1, 2, 3, 4, 5",7,,
86,,U.S.,Mark C. Lee,"1994: STS-64 EVA 1
1997: STS-82 EVA 1, 3, 5",4,,
87,,U.S.,Carl J. Meade,1994: STS-64 EVA 1,1,,
88,,U.S.,Michael Foale,"1995: STS-63 EVA 1
1997: Mir EO-24 EVA 2
1999: STS-103 EVA 2
2004: Expedition 8 EVA 1",4,,
89,,U.S.,Bernard Harris,1995: STS-63 EVA 1,1,,
90,,Russia,Vladimir N. Dezhurov,"1995: Mir EO-18 EVA 1, 2, 3, 4, 5
2001: Expedition 3 EVA 1, 2, 3, 4",9,,
91,,Russia,Nikolai Budarin,"1995: Mir EO-19 EVA 1, 2, 3
1998: Mir EO-25 EVA 1, 2, 3, 4, 5",8,,
92,,U.S.,James S. Voss,"1995: STS-69 EVA 1
2000: STS-101 EVA 1
2001: STS-102 EVA 1
2001: Expedition 2 EVA 1",4,,
93,,U.S.,Michael Gernhardt,"1995: STS-69 EVA 1
2001: STS-104 EVA 1, 2, 3",4,,
94,,Germany,Thomas Reiter,"1995-6: Mir EO-20 EVA 1, 3
2006: Expedition 13 EVA 2",3,,
95,,Russia,Yuri Gidzenko,"1995-6: Mir EO-20 EVA 2, 3",2,,
96,,U.S.,Leroy Chiao,"1996: STS-72 EVA 1, 2
2000: STS-92 EVA 1, 3
2005: Expedition 10 EVA 1, 2",6,,
