Order,Image,Country,Name,# walks,Year,Mission,,
1,,USSR,"Alexei Leonov
1934–2019",1,1965, Voskhod 2,,
2,,U.S.,"Ed White
1930–1967",1,1965, Gemini 4,,
3,,U.S.,"Eugene Cernan
1934–2017",1,1966, Gemini 9A,,
4,,U.S.,Michael Collins,2,1966, Gemini 10 EVA 1 ,,
5,,U.S.,Michael Collins,2,1966, Gemini 10 EVA 2 ,,
6,,U.S.,"Richard F. Gordon, Jr.
1929–2017",2,1966, Gemini 11 EVA 1 ,,
7,,U.S.,"Richard F. Gordon, Jr.
1929–2017",2,1966, Gemini 11 EVA 2 ,,
8,,U.S.,Buzz Aldrin,3,1966, Gemini 12 EVA 1 ,,
9,,U.S.,Buzz Aldrin,3,1966, Gemini 12 EVA 2,,
10,,U.S.,Buzz Aldrin,3,1966, Gemini 12 EVA 3 ,,
11,null,USSR,"Yevgeny Khrunov
1933–2000",1,1969, Soyuz 5/4,,
12,,USSR,Aleksei Yeliseyev,1,1969, Soyuz 5/4,,
13,,U.S.,David Scott,2,1969, Apollo 9 ,,
14,,U.S.,Rusty Schweickart,1,1969, Apollo 9,,
15,,U.S.,"James Irwin
1930–1991",1,1971, Apollo 15 EVA 2 ,,
16,,U.S.,Alfred Worden,1,1971, Apollo 15 EVA 2,,
17,,U.S.,"Charles Moss Duke, Jr.",1,1972, Apollo 16 ,,
18,,U.S.,Ken Mattingly,1,1972, Apollo 16,,
19,,U.S.,Harrison Schmitt,1,1972, Apollo 17 ,,
20,,U.S.,"Ronald Evans
1933–1990",1,1972, Apollo 17,,
21,,U.S.,"Paul J. Weitz
1932–2017",2,1973, Skylab 2 EVA 1,,
22,,U.S.,"Paul J. Weitz
1932–2017",2,1973, Skylab 2 EVA 3,,
23,,U.S.,"Pete Conrad
1930–1999",2,1973, Skylab 2 EVA 2,,
24,,U.S.,"Pete Conrad
1930–1999",2,1973, Skylab 2 EVA 3,,
25,,U.S.,Joseph Kerwin,1,1973, Skylab 2 EVA 2,,
26,,U.S.,"Owen K. Garriott
1930–2019",3,1973, Skylab 3 EVA 1,,
27,,U.S.,"Owen K. Garriott
1930–2019",3,1973, Skylab 3 EVA 2,,
28,,U.S.,"Owen K. Garriott
1930–2019",3,1973, Skylab 3 EVA 3,,
29,,U.S.,Jack Lousma,2,1973, Skylab 3 EVA 1,,
30,,U.S.,Jack Lousma,2,1973, Skylab 3 EVA 2,,
31,,U.S.,"Alan Bean
1932–2018",1,1973, Skylab 3 EVA 3,,
32,,U.S.,Edward Gibson,3,1973-4, Skylab 4 EVA 1,,
33,,U.S.,Edward Gibson,3,1973-4, Skylab 4 EVA 3,,
34,,U.S.,Edward Gibson,3,1973-4, Skylab 4 EVA 4,,
35,,U.S.,"William R. Pogue
1930–2014",2,1973, Skylab 4 EVA 1,,
36,,U.S.,"William R. Pogue
1930–2014",2,1973, Skylab 4 EVA 2,,
37,,U.S.,Gerald P. Carr,3,1973-4, Skylab 4 EVA 2,,
38,,U.S.,Gerald P. Carr,3,1973-4, Skylab 4 EVA 3,,
39,,U.S.,Gerald P. Carr,3,1973-4, Skylab 4 EVA 4,,
40,,USSR,Yuri Romanenko,4,1977, Salyut 6 EO-1 EVA 1,,
41,,USSR,"Georgi Grechko
1931–2017",1,1977, Salyut 6 EO-1 EVA 1,,
42,,USSR,Vladimir Kovalyonok,1,1978, Salyut 6 EO-2 EVA 1 ,,
43,,USSR,Aleksandr Ivanchenkov,1,1978, Salyut 6 EO-2 EVA 1,,
44,,USSR,Valery Ryumin,1,1979, Salyut 6 EO-3 EVA 1,,
45,,USSR,"Vladimir Lyakhov
1941–2018",3,1979, Salyut 6 EO-3 EVA 1,,
46,,USSR,"Anatoly Berezovoy
1942–2014",1,1982, Salyut 7 EO-1 EVA 1,,
47,,USSR,Valentin Lebedev,1,1982, Salyut 7 EO-1 EVA 1,,
48,,U.S.,Story Musgrave,4,1983, STS-6 EVA 1,,
49,,U.S.,"Donald H. Peterson
1933–2018",1,1983, STS-6 EVA 1,,
